Nr,Text der Frage,Begründungstext,Initiative/Person
20,Sind Modularbauten die Lösung für die dringend nötigen Schulplätze?,"Nein, weil auch die Turnhallen, Pausenhöfe und umliegende Strukturen gleifals ausgebaut werden müssen. Wenn Modularbauten etwa auf dem Schulhof errichtet werden, wird der kleinere Hof von wesentlich mehr Schülern genutzt werden müssen.",anonym
21,"Jugend- und Bildungseinrichtungen sollten Vorrang vor kommerziellen Baumaßnahmen (Eigentumswohnungen. Büros, Clubs, etc) haben.",,
22,Öffentliche Plätze sollen frei bleiben von kommerzieller Nutzung.,"Die Parkanlagen alle Menschen zugänglich sein, die kommerzfreien Spaß oder Ruhe haben wollen. Öffentliche Flächen sind NICHT für die private finanzielle Profitmaximierung.",anonym
23,"Es gibt noch ungenutztes Bauland, was nicht an Investoren verfällt. Dieses soll für den Bau von Schulen genutzt werden.",,
24,Die massive Polizeipräsenz in der Rigaer Straße und die Deklaration als Gefahrengebiet muss enden.,"Das sog. ""Gefahrengebiet"" muß sofort wieder zurückgenommen und Anwohner_innen müssen dafür entschädigt werden. Rechte Übergriffe, Angriffe und Versammlungen müssen mehr, deutlicher, bekannt und öffentlich gemacht werden.",PolitSalon und andere
25,Die Nutzung der Rigaer 94 vor der Besetzung durch die Polizei muss wieder hergestellt werden.,,PolitSalon und andere
26,Es darf zu keinen rechtswidrgen Zwangsräumungen kommen. Die Fälle sind aufzuarbeiten. Betroffene müssen dafür entschädigt werden.,,PolitSalon - PS und ander
27,"Basisdemokratische, offene, selbstorganisierte, alternative und linke bis linksradikale Projekte (aus dem Kiez) sollten nicht schikaniert werden.","Es muß offener und unterstützender damit umgegangen werden. Gegen die rechtskonservative Politik von Henkel und Konsorten. Gegen Repression, repressive Schikanen, rassistische Kontrollen, Ordnungsamts- und Polizeiwillkür sowie keine falsche Toleranz gegenüber Neonazis und rechtem Millieu. Mehr Aufklärungsarbeit und soziale Unterstützungsarbeit, wie mobile Jugendarbeit und Sozialarbeit auf der Straße anstatt Inkriminierungen und Kriminalisierungen. Legalisierung und Regulation statt Prohibition.",
28,"Es sollten Maßnahmen ergriffen werden, um die Obdachlosenzahlen zu verringern.","Ich wünsche mir, dass wir versuchen die Obdachlosen zu integrieren! Besonders auf der Warschauer Brücke ist mir ihr Betteln sehr unangenehm. Ich bin darum dafür, ein Programm zu entwickeln, das sowohl Alkoholentzug und Rehabilitation als auch Hilfe bei der Wohnungs- und Jobbeschaffung beinhaltet.",
29,Gegen Obdachlosigkeit und Bettelei muss dringend etwas getan werden.,"Auf öffentlichen Flächen lassen sich (gerade im Sommer) immer mehr Obdachlose nieder. Die nehmen öffentliches Straßenland ein und mindern die Lebensqualität, weil sie entsprechend Müll erzeugen, keine Toilette haben und sich nicht waschen können. Außerdem betteln immer mehr Leute auf der Straße (AUCH KINDER zum Beispiels an der Warschauer Straße) und in den öffentlichen Verkehrtsmitteln. So gemein wie es klingt, als Anwohner fühlt man sich dadurch immer unwohler und wird nicht gerade toleranter. Das Bezirksamt und der Senat muss das Gespräch und Lösungen auch mit der BVG und der Deutschen Bahn /S-Bahn suchen!",anonym
30,Es sollen weniger Eigentumswohnungen enstehen dafür mehr bezahlbarer Wohnraum.,,
31,Steigenden Mieten und zunehmender (u.a.) Wohnraum-Privatisierung und Verdrängung (durch Gentrifizierung usw.) ist entgegenzuwirken.,Der Privatisierung ist entgegenzuwirken. Alles gehört in öffentliche Hand und demokratische Kontrolle.,PolitSalon und anderee
32,Leerstände sollen durch die Gemeinschaft genutzt werden können (z.B. für Flüchtlingsunterkünfte oder Sozialwohnungen).,"Ja. Investoren sollen angehalten werden ca 90% sozialen Wohnungsbau zu leisten. Sofern sie dieses nicht tun, sollten gestaffelte Strafen auferlegt.",anonym
33,"Jedes Bauvorhaben sollte verpflichtet werden, sich aktiv und ohne Ausnahmen am notwendigen Auf- und Ausbau der Infrastruktur (Schulen, Alten- und Kindereinrichtungen, Freizeitangebote, Grünflächen) zu beteiligen.",,
34,"Der Senat/Bezirk sollte steuernd in die Struktur der Wohnsituation eingreifen und für eine homogene, soziale Stadt sorgen.",,
35,Es sollte eine stärkere Kontrolle im Sinne von Compliance bei der Vergabe von Baurechten und beim Verkauf von städtischen Grundstücken geben.,,
36,"Das RAW Gelände soll auch in Zukunft den Vereinen und Initiativen, die seit Jahren hier zu Hause sind, zur Verfügung stehen.",,anonym
37,Das Verkehrsmittel Fahhrad soll stärker gefördert werden.,"Ich würde mich sehr freuen, wenn unser Kiez noch fahrradfreundlicher würde. Die neuen Fahrradstellplätze statt der Parkplätze in der Revaler Str. sind super. Mehr davon rund um den Boxi! Im Simon-Dach-Viertel ist es leider ziemlich anstrengend Fahrrad zu fahren, weil die meisten Straßen mit Kopfsteinpflaster bestückt sind. Kann man dort an den Seiten evtl. betonierte Spuren für die Räder einrichten?",Maria Haupert
38,"Es sollte eine Verwaltungsreform geben, wenn nötig mit einer Verfassungsänderung, die die Abläufe zwischen Senat und Bezirk verbessert.",,
