Person,Partei,"Region (BVV, WK2, WK4, WK5)",Fragenummer,"Zustimmungsaussage (ja = zustimmung, nein = nicht Zustimmung, 0 = neutral)",Begründung
Knut Mildner-Spindler,die Linke,BVV,2,ja,"DIE LINKE will, dass die Bewohnerinnen und Bewohner, aber auch Touristinnen und Touristen in unserem Bezirk ohne Angst vor Kriminalität leben können. Die Erfahrung zeigt: Nur durch polizeiliche Repression lassen sich die Probleme nicht lösen. Nichtsdestotrotz ist an Hotspots wie der Revaler Straße/Warschauer Straße zumindest temporär mehr Polizei unvermeidbar. Die Sicherheitslage lässt sich allerdings nur durch ein zwischen Bezirk und Polizei abgestimmtes Gesamtkonzept verbessern. Ob dazu auch eine mobile Wache gehört, ist bei der Erarbeitung eines solchen Konzeptes zu klären. Eine Ausweitung der Videoüberwachung lehnt DIE LINKE ab. Sie gaukelt ein Sicherheitsgefühl vor, ohne eine einzige Straftat verhindern zu können, die alltägliche Überwachung hingegen trifft uns alle. 
 Zudem reicht die Forderung nach mehr Polizei im öffentlichen Raum alleine nicht aus. Wer Kriminalität wirksam vorbeugen und die Sicherheit für Bürgerinnen und Bürger verbessern will, muss auf die Stärkung des sozialen Zusammenhalts setzen. Außerdem wollen wir so genannte „Angsträume“ – also unbelebte Straßen oder dunkle Parks – reduzieren. Wo sinnvoll soll zudem eine verstärkte und verstetigte Straßensozialarbeit etabliert werden, die auch vorbeugend gegen Straftaten wirken kann."
Knut Mildner-Spindler,die Linke,BVV,3,ja,"DIE LINKE will Angebote und Anlaufstellen fördern, die Menschen, die einen Ausweg aus Drogenkriminalität und -abhängigkeit suchen, dabei unterstützen und praktische Hilfe wie Sprachkurse, Vermittlung von Wohnungen, Beschäftigung oder medizinische Versorgung bieten."
Knut Mildner-Spindler,die Linke,BVV,4,ja,"DIE LINKE will Angebote und Anlaufstellen fördern, die Menschen, die einen Ausweg aus Drogenkriminalität und -abhängigkeit suchen, dabei unterstützen und praktische Hilfe wie Sprachkurse, Vermittlung von Wohnungen, Beschäftigung oder medizinische Versorgung bieten."
Knut Mildner-Spindler,die Linke,BVV,5,ja,"DIE LINKE setzt sich für eine Kompensation der Kosten durch das Land ein, die den von Tourismus am meisten belasteten Bezirken durch die erweiterte Stadtreinigung und anderenorts zusätzlich entstehen. Die Einnahmen aus der City-Tax den Bezirken zukommen zu lassen, kann dazu ein geeignetes Instrument sein."
Knut Mildner-Spindler,die Linke,BVV,6,ja,Das Bezirksamt hat diesbezüglich schon erste Versuche unternommen. Diese müssen ausgewertet und weiterentwickelt werden.
Knut Mildner-Spindler,die Linke,BVV,7,ja,"Touristische Nutzungen wie die beschriebenen Busse haben in Wohngebieten nichts zu suchen. Alle Besucher unserer Stadt sind herzliche willkommen, aber die massive Anhäufung von Gastronomie in bestimmten Gebieten wie zum Beispiel am Boxhagener Platz muss reduziert werden. Wir fordern für hochbelastete Wohngebiete Lärmschutz- und Verkehrsmessungen ein und wo notwendig konsequente Maßnahmen zum Schutz der Anwohnerinnen und Anwohner."
Knut Mildner-Spindler,die Linke,BVV,8,ja,Die zweckfremde Nutzung von Wohnraum durch Ferienwohnungen muss auch weiterhin konsequent bekämpft werden.
Knut Mildner-Spindler,die Linke,BVV,9,ja,"Wir treten dafür ein, die massive Anhäufung von Gastronomie in bestimmten Gebieten wie zum Beispiel am Boxhagener Platz zu verhindern bzw. zu verringern."
Knut Mildner-Spindler,die Linke,BVV,10,ja,Wir setzen uns für starke und vor allem handlungsfähige Bezirke ein. Der Stellenabbau der letzten Jahre hat die Bezirksverwaltungen überfordert. Mehr Personal ist in vielen Bereichen unabdingbar. Das gilt auch für den Allgemeinen Ordnungsdienst.
Knut Mildner-Spindler,die Linke,BVV,11,ja,"DIE LINKE setzt sich für mehr Müllkörbe und deren häufigere Leerung in Gebieten ein, in denen sich besonders viele Menschen täglich aufhalten und Abfall produzieren. Darüber hinaus wollen wir, dass Straßen und öffentliche Plätze öfter gereinigt werden und Grünflächen als Erholungsflächen genutzt werden können. Ein Gegeneinander der unterschiedlichen Nutzungsformen darf es nicht geben. Vielmehr sollte es abgegrenzte Flächen, zum Beispiel für Hunde und zum Grillen, geben. Die Grünflächen müssen regelmäßig gepflegt und gereinigt werden. Wir wollen dazu neue Kooperationen der Verwaltung mit der BSR und den Wirtschaftsunternehmen des Bezirks initiieren, damit die geringen öffentlichen Mittel sinnvoll eingesetzt werden und sich die ansässigen Unternehmen an den Kosten beteiligen. Die Reinigung mehrerer Parkanlagen durch die BSR ist ein Schritt in die richtige Richtung."
Knut Mildner-Spindler,die Linke,BVV,12,ja,Die Clubcommission ist Interessenvertreterin und kann damit keine neutrale Moderation garantieren.
Knut Mildner-Spindler,die Linke,BVV,13,ja,"DIE LINKE will keine reinen touristischen ""Mono-Kulturen"" in der Stadt. Wir setzen uns für eine diversifizierte Gewerbelandschaft ein."
Knut Mildner-Spindler,die Linke,BVV,14,ja,
Knut Mildner-Spindler,die Linke,BVV,15,ja,"DIE LINKE unterstützt den Vorschlag verschiedener Kiez-Initiativen zur Errichtung eines Beratungsbüros für Veranstaltungen im öffentlichen Raum, das Veranstalterinnen und Veranstalter nicht-kommerzieller Aktivitäten bei der Erstellung ihrer Anträge unterstützt und alle Informationen bündelt."
Knut Mildner-Spindler,die Linke,BVV,16,ja,Nicht-kommerzielle kiezbezogene Veranstaltungen sollten gegenüber kommerziellen Events bevorzugt behandelt und genehmigt werden.
Knut Mildner-Spindler,die Linke,BVV,17,ja,"Wir haben bisher gegen den Ausbau der A100 bis zum Treptower Park gekämpft, das gilt auch für den nächsten Bauabschnitt über die Frankfurter Allee bis zur Storkower Straße, der aktuell von CDU und SPD auf Landesebene geplant und vorbereitet und mit Tricks versucht wird umzusetzen."
Knut Mildner-Spindler,die Linke,BVV,18,ja,"Die Zweckentfremdung von Parkflächen für ""Werbe-Anhänger"" sollte unterbunden werden. Die notwendigen rechtlichen Maßnahmen sind zu prüfen."
Knut Mildner-Spindler,die Linke,BVV,19,ja,"DIE LINKE tritt für eine langfristige Schulplanung ein, die die erforderlichen Flächen für den Bau der benötigten Schulen sichert, den Schulbau realisiert und die Ausbildung und Einstellung des benötigten Personals und die ausreichende finanziellen Ausstattung der Schulen umfasst. Wir wollen, dass es in allen Schulen ausreichend Mittel, Personal und Räume für ein ganztägiges Angebot wie auch für selbstorganisierte Initiativen und Arbeitsgemeinschaften gibt."
Knut Mildner-Spindler,die Linke,BVV,20,ja,"Kurzfristig sind Modularbauten zum Teil leider unvermeidbar, um die notwendigen Schulplätze zu schaffen. Unser Ziel ist jedoch eine langfristige Schulplanung, die die erforderlichen Flächen für den Bau der benötigten Schulen sichert, den Schulbau realisiert und die Ausbildung und Einstellung des benötigten Personals und die ausreichende finanziellen Ausstattung der Schulen umfasst."
Knut Mildner-Spindler,die Linke,BVV,21,ja,"Wo immer möglich, sollten Land und Bezirk alle Möglichkeiten nutzen, bestehende Jugend- und Bildungseinrichtungen aber auch Clubs vor Verdrängung durch kommerzielle Bauprojekte zu schützen"
Knut Mildner-Spindler,die Linke,BVV,22,nein,"Wir wehren uns gegen eine zunehmende Kommerzialisierung des öffentlichen Raumes und insbesondere von Grünflächen. Wir treten für eine Reduzierung der kommerziellen Nutzung öffentlicher Plätze ein. Das gilt insbesondere für rein kommerzielle Großprojekte, die zu Lasten der Lebensqualität der Anwohnerinnen und Anwohner gehen, wie das Formel E Rennen. Ein vollständiges Verbot der kommerziellen Nutzung öffentlicher Plätze, halten wir jedoch für nicht sinnvoll, insbesondere wenn es um Kleingewerbetreibende geht. Wir wollen eine Diskussion im Bezirk und in seinen Kiezen führen, welches Maß der Nutzung vereinbar ist mit dem Anspruch, dass der öffentliche Raum allen gehört, die hier leben. Entsprechende Anträge auf Sondernutzung sind am Einzelfall zu prüfen und zu entscheiden."
Knut Mildner-Spindler,die Linke,BVV,23,ja,"Ungenutztes Bauland muss von der öffentlichen Hand erworben werden. Dann kann es - je nach Bedarf (Schulen, Wohnen etc.) - genutzt werden."
Knut Mildner-Spindler,die Linke,BVV,24,ja,"Was sonst?! Im Friedrichshainer Nordkiez müssen wir seit Monaten beobachten, dass die Bewohnerinnen und Bewohner durch anlasslose Personenkontrollen und Passierverbote schikaniert und in ihrem Lebensalltag stark werden eingeschränkt. Diese Belästigung der Anwohnerinnen und Anwohner und der Besucherinnen und Besucher muss umgehend ein Ende haben."
Knut Mildner-Spindler,die Linke,BVV,25,ja,"Wir setzen uns dafür ein, dass das Wohn- und Kulturprojekt Rigaer 94 erhalten bleibt."
Knut Mildner-Spindler,die Linke,BVV,26,ja,"DIE LINKE verurteilt rechtswidrige Räumungen und ist sehr aktiv in der parlamentarischen Aufarbeitung solcher Vorgänge. Wir ermutigen Betroffene, auch zivilrechtlich dagegen vorzugehen."
Knut Mildner-Spindler,die Linke,BVV,27,ja,"Wir weisen die Versuche der Polizeiführung und des Innensenators, linke Kiez-Strukturen zu schikanieren zurück. Im Gegenteil: Alternative, linke Strukturen gilt es zu unterstützen und zu stärken. Selbstverwaltete Wohnprojekte sind Teil einer alternativen Stadtentwicklung, die wir weiter unterstützen und fördern wollen. Dazu gehören auch (ehemals) besetzte Häuser und Hausprojekte. Wir wenden uns gegen deren Kriminalisierung und wollen sie als widerständige Teile der Identität Friedrichshain-Kreuzbergs erhalten."
Knut Mildner-Spindler,die Linke,BVV,28,ja,"Wir wollen Angebote und Anlaufstellen fördern, die Menschen, die einen Ausweg aus Drogenkriminalität und -abhängigkeit suchen, praktische Hilfe bei der Vermittlung von Wohnungen, Beschäftigung oder medizinischer Versorgung bieten. Die Straßensozialarbeit ist auszubauen."
Knut Mildner-Spindler,die Linke,BVV,29,ja,"Obdachlosigkeit und Bettelei sind Ausdruck der wachsenden Armut und ihrer Ausgrenzung in unserer Stadt. Die hier offen zutage tretenden sozialen Probleme lassen sich nicht allein mit polizeilichen Mitteln lösen, sofern es nicht zu offensichtlichen Straftaten kommt. Wir wollen stattdessen vor allem Angebote und Anlaufstellen fördern, die Menschen, die in Not sind, praktische Hilfe bei der Vermittlung von Wohnungen, Beschäftigung oder medizinischer Versorgung bieten. Dazu muss Straßensozialarbeit angeboten werden. Es braucht bezahlbaren und auch geschützten Wohnraum."
Knut Mildner-Spindler,die Linke,BVV,30,ja,Unser Bezirk wie Berlin braucht mehr bezahlbaren Wohnraum. Für DIE LINKE spielen die städtischen Wohnungsunternehmen bei der Gestaltung einer sozialen Wohnungspolitik eine zentrale Rolle. Die LINKE hält am Stopp des Verkaufs von Wohnungsbeständen der kommunalen Gesellschaften fest und tritt für eine schrittweise Ausweitung ihrer Wohnungsbestände in den kommenden Jahren ein. Auch im Bereich der privaten Anbiter muss eine weitere Umwandlung von bereits bestehenden Wohn- und Geschäftsräumen in für die meisten Menschen unbezahlbare Luxuswohnungen verhindert werden.
Knut Mildner-Spindler,die Linke,BVV,31,ja,"Der Kampf gegen die Zerstörung bezahlbaren Wohnraums und die Verdängung von Bewohnerinnen und Bewohner unseres Bezirks hat für uns oberste Priorität. Auf Landes- und Bezirksebene sind alle vorhandenen Instrumente auszunutzen, um ein weiteres Steigen der Mieten zu stoppen und neuen bezahlbaren Wohnraum zu schaffen. Wir wollen Zwangsumzüge verhindern. Durch angemessene Mietkostenübernahmeregelungen sollen auch Menschen, die auf Transferleistungen (Hartz IV, Sozialhilfe oder Grundsicherung im Alter) angewiesen sind, in ihrem bisherigen sozialen Umfeld wohnen bleiben können."
Knut Mildner-Spindler,die Linke,BVV,32,ja,"Senat und Bezirksamt sollen alle rechtlichen Möglichkeiten ausschöpfen, um der Zweckentfremdung durch Leerstand entgegenzuwirken. Leere Gebäude und Flächen müssen genutzt werden, Wohnungen und Infrastruktur für von Verdrängung Bedrohte zu schaffen."
Knut Mildner-Spindler,die Linke,BVV,33,ja,"Aufgrund der massiven baulichen Nachverdichtung im Bezirk müssen auch die Bauherren/Investoren in die Pflicht genommen werden, wenn es um die Schaffung drinngend benötigter sozialer Infrastruktur geht."
Knut Mildner-Spindler,die Linke,BVV,34,ja,"DIE LINKE tritt dafür ein, dass Friedrichshain-Kreuzberg bewohnbar für alle Menschen bleibt, die hier leben. Wir halten es für eine zentrale Aufgabe für die Landes- wie die Bezirkspolitik, die Verdrängung von Menschen mit geringem Einkommen an den Stadtrand zu stoppen und dafür zu sorgen, dass sich auch zukünftig Menschen mit einem kleinen Geldbeutel das Leben in der Innenstadt noch leisten können. DIE LINKE tritt dafür ein, die soziale Bevölkerungsmischung in den Wohnquartieren zu erhalten und der zunehmenden sozialräumlichen Spaltung der Stadt entgegenzuwirken. Um auf die divergierenden sozialräumlichen Entwicklungen politisch Einfluss nehmen und Verdrängungsprozesse verhindern zu können, bedarf es eines Mixes aus wohnungs-, sozialpolitischen und städtebaurechtlichen Instrumenten auf Bezirks-, Landes- und Bundesebene"
Knut Mildner-Spindler,die Linke,BVV,35,ja,"Verträge und Vereinbarungen auf müssen auf Einhaltung überprüft werden. Wir setzen wir uns in jedem Fall für konsequente Maßnahmen ein, um Korruption und Interessenkonflikte bei der Vergabe von Baurechten oder ähnlichen Vorgängen zu unterbinden. Zudem erwarten wir, dass Bauherren/Investoren wo immer möglich in die Pflicht genommen werden, wenn es um die Schaffung dringend benötigter sozialer Infrastruktur geht."
Knut Mildner-Spindler,die Linke,BVV,36,ja,Das RAW muss als Kulturstandort langfristig gesichert werden. DIE LINKE setzt sich für die weitere Nutzung des RAW als Ort von Erholungs- und Freizeitangeboten für die Anwohnerinnen und Anwohner sowie als Ort für bezahlbare Produktionsräume für Künstlerinnen und Künstler ein.
Knut Mildner-Spindler,die Linke,BVV,37,ja,"DIE LINKE unterstützt den Ausbau des bezirklichen Fahrradroutensystems und dabei insbesondere neue Fahrradstreifen auf der Straße. Gerade entlang der Hauptverkehrsstraßen wie der Skalitzer Straße, Tempelhofer Ufer oder auch Frankfurter Allee muss es möglich sein, ungehindert und sicher mit dem Fahrrad unterwegs zu sein. Dazu gehört die Überprüfung von Falschparkern auf Radstreifen. Die Abstellmöglichkeiten für Fahrräder müssen nicht nur vor Bahnhöfen und Einkaufsbereichen, sondern auch in Wohngebieten ausgebaut werden."
Knut Mildner-Spindler,die Linke,BVV,38,ja,"Für DIE LINKE sind starke und leistungsfähige Bezirke die Basis für eine funktionsfähige Stadt. Die Aufgaben von Bezirken und Senatsverwaltung müssen klar definiert und abgegrenzt sein. Dies sollte auch ohne Verfassungsänderung gehen, aber wenn notwenig muss die Verfassung geändert werden."
Marlene Heihsel,FDP,BVV,1,nein,"Tourismus bereichert unseren Bezirk! Friedrichshain-Kreuzberg ist der Inbegriff des weltweit bekannten Berliner (Nacht-)Lebens und zieht jährlich Millionen von Menschen an. Darauf sind wir stolz. Wir freuen uns nicht nur über den Austausch mit Reisenden aus allen Ländern, sondern sehen auch das wirtschaftliche Potenzial dahinter. Tausende Arbeitsplätze hängen in Berlin mittlerweile an der Gastronomie und etliche Betriebe profitieren von der Beliebtheit. Wir setzen uns für eine Prüfung von Freiheitsgebieten in den als besonders lebendig ausgezeichneten Bezirksteilen ein. Hier können Grenzen vom Ordnungsamt weiter gefasst werden, wenn es z.B. um Ruhephasen geht. Diese größeren Freiheiten machen sie schließlich besonders attraktiv für kreativ Schaffende und können auch von Anwohner*innen wertgeschätzt werden. So kann es beispielsweise bei Neuvermietungen oder Straßenkennzeichnungen entsprechende Hinweise zu den Freiheitsgebieten geben. Natürlich müssen auch hier Regeln gelten; insbesondere familiäre Wohngegenden kommen nicht infrage. Die FDP erkennt jedoch auch die Probleme, die mit der zunehmenden Zahl an BesucherInnen entstehen. Die Stadtreinigung muss dementsprechend ausgeweitet und Konzepte gegen die wachsende Kriminalität erstellt werden."
Marlene Heihsel,FDP,BVV,2,ja,"Das Gewaltmonopol übt die Polizei aus. Sie ist dabei Partnerin und nicht Gegner der Bevölkerung. Eine gute Kommunikation und Zusammenarbeit ist zwingend notwendig, um die Probleme im Bezirk zu lösen. Wir setzen uns für eine Ausweitung der polizeilichen Fußstreife um Brennpunkte herum und somit für mehr Polizeipräsenz ein. Dies sorgt lokal für mehr Sicherheit vor Raubüberfällen und Taschendiebstahl und dämpft das Problem des Vandalismus."
Marlene Heihsel,FDP,BVV,3,ja,"Die Ursachen für diese Kriminalität liegen in der Tat viel tiefer. Hier reicht es nicht, mit mehr Polizei nur die Symptome zu bekämpfen. Durch langfristige Integrationsmaßnahmen kann den Menschen eine attraktivere und dauerhaftere Perspektive außerhalb der Kriminaltität geboten werden."
Marlene Heihsel,FDP,BVV,4,ja,"Die Ursachen für diese Kriminalität liegen in der Tat viel tiefer. Hier reicht es nicht, mit mehr Polizei nur die Symptome zu bekämpfen. Durch individuelle Betreuung durch Streetworker kann den Menschen beim Ausstieg aus der Kriminalität geholfen werden."
Marlene Heihsel,FDP,BVV,5,neutral,"Unser Ziel ist die Abschaffung der City Tax, da Touristen in Berlin ohnehin viel Geld in Hotels, Clubs, Ferienwohnungen, Bars, Restaurants und Sehenswürdigkeiten ausgeben. Durch die Besteuerung dieser Wirtschaftstreibenden profitieren Berlin und der Bezirk ungemein. Die zusätzliche Übernachtungssteuer (sog. City Tax) ist deshalb lediglich eine weitere Verwaltungstätigkeit und schafft keinen Mehrwert. Solange die City Tax allerdings noch besteht, sind wir auf jeden Fall dafür, dass sie direkt in die betroffenen Gebiete fließt, die damit z. B. die erweiterte Stadtreinigung zu finanzieren. Fällt die City Tax weg, muss demnentsprechend mehr Geld vom Senat bereitgestellt werden."
Marlene Heihsel,FDP,BVV,6,ja,"Dieses Bewusstsein gilt es überall und bei jedem, egal ob Anwohner oder Besucher, zu schaffen, nicht nur in Szenekiezen."
Marlene Heihsel,FDP,BVV,7,nein,Als liberale Partei lehnen wir kleinteilige Verbote ab. Auch sehen wir Friedrichshain als Innenstadtbezirk und nicht als reinen Wohnkiez.
Marlene Heihsel,FDP,BVV,8,neutral,"Jein. Grundsätzlich setzen wir uns eine komplette Legalisierung von Home Sharing ein - d.h. man soll seine eigene Wohnung, in der man auch seinen Hauptwohnsitz hat, komplett oder zu Teilen zeitweise als Ferienwohnung oder Ferienzimmer vermieten dürfen. Dadurch wird kein Wohnraum entzogen. Bezüglich kommerzieller Ferienwohnungen setzen wir uns für eine Regelung, aber nicht ein vollständiges Verbot von Ferienwohnungen ein. Das behinhaltet z. B. die Reduzierung der Ferienwohnungsdichte in bestimmten, bereits stark belasteten Gebieten. Dennoch wollen wir die Wahlfreiheit für Berlinbesucher bezüglich ihrer Unterkunft grundsätzlich wahren."
Marlene Heihsel,FDP,BVV,9,nein,"Wir meinen: Solange für eine übermäßige Inanspruchnahme öffentlichen Straßenraumes eine entsprechende Entschädigung gezahlt wird, die wiederum dem öffentlichen Raum zugute kommt, sehen wir keinen Handlungsbedarf."
Marlene Heihsel,FDP,BVV,10,nein,"Geld ist nicht unbegrenzt vorhanden. Wir möchten daher eine solche Investition zunächst prüfen und einschätzen, ob eine Investition in Bildung/Schulraum einen größeren Einfluss auf das Gemeinwohl hat."
Marlene Heihsel,FDP,BVV,11,ja,"Der Umfang der Stadtreinigung (Reinigungszeiten, Reinigungsintervall, Anzahl der Abfallbehälter etc.) muss an den Zuwachs an Einwohnern und Besuchern angepasst werden."
Marlene Heihsel,FDP,BVV,12,neutral,
Marlene Heihsel,FDP,BVV,13,neutral,"Eine gute Durchmischung der Gewerbelandschaft zwischen Gastronomie und anderem Kleingewerbe kann angestrebt und kommuniziert werden, eine entsprechende finanzielle Förderung lehnen wir jedoch ab."
Marlene Heihsel,FDP,BVV,14,ja,Transparenz fördert in jedem Fall mehr Demokratie und Verständnis in der Bevölkerung.
Marlene Heihsel,FDP,BVV,15,ja,Nachbarschaftsinitiativen etc. sind im Sinne einer aktiven Beteiligung der Bewohner an der Bürgergesellschaft begrüßenswert und im Sinne einer erleichterten Genehmigungskultur zu unterstützen.
Marlene Heihsel,FDP,BVV,16,nein,"Das Ordnungsamt ist lediglich ein ausführendes Organ der Verwaltung und kann sich dementsprechend nicht für oder gegen Dinge einsetzen. Eine gute Möglichkeit, die Belange der Kiezkultur und -nachbarschaft, sich selbstbewusst und selbstverantwortlich für ihre Belange einzusetzen, stellt zum Beispiel die Fragestunde in der Bezirksverordnetenversammlung dar."
Marlene Heihsel,FDP,BVV,17,nein,Zur Entlastung großer Teile von Neukölln und der gesamten Innenstadt Berlins befürworten wir den (Weiter-)Bau der A100.
